n_min,n_max,alpha,use_data_cleaning,enable_cjk_tuning,cjk_n_min,cjk_n_max,cjk_alpha,ko_alpha,num_examples,top1_acc,top3_acc,top3_cjk_macro,top3_zh,top3_ja,top3_ko,train_time_sec,eval_time_sec
2,5,0.3,True,True,1,3,1.5,,99757,0.6607957336327275,0.798029210982688,0.7842676083175096,0.8367243648142525,0.8096003213496686,0.7064781387886081,120.88742843499949,26.638564734000283
2,5,0.3,False,True,1,3,1.5,,99757,0.712561524504546,0.8753671421554378,0.8217887137994838,0.8415831561898978,0.8117091785499096,0.8120738066586441,119.58136291499977,30.896948542000246
2,3,0.05,True,False,1,3,1.5,,99757,0.5716090098940425,0.7570797036799423,0.782725627628387,0.8365219151736005,0.8016670014059049,0.7099879663056559,59.72858772200016,17.94415895799966
2,3,0.1,True,False,1,3,1.5,,99757,0.5716090098940425,0.7570696793207494,0.782725627628387,0.8365219151736005,0.8016670014059049,0.7099879663056559,60.15645216599978,18.033851220000088
2,3,0.2,True,False,1,3,1.5,,99757,0.5715889611756568,0.7570596549615566,0.782725627628387,0.8365219151736005,0.8016670014059049,0.7099879663056559,60.4984463210003,18.201532086000043
2,3,0.3,True,False,1,3,1.5,,99757,0.571578936816464,0.7570295818839781,0.782725627628387,0.8365219151736005,0.8016670014059049,0.7099879663056559,60.441876578999995,18.052704626000036
2,3,0.5,True,False,1,3,1.5,,99757,0.5715889611756568,0.7570095331655924,0.782725627628387,0.8365219151736005,0.8016670014059049,0.7099879663056559,60.53405168099971,17.787657508999928
2,3,1.0,True,False,1,3,1.5,,99757,0.571578936816464,0.7568290947001213,0.7826581444148365,0.8363194655329487,0.8016670014059049,0.7099879663056559,60.325896360000115,18.192606714999783
2,4,0.05,True,False,1,3,1.5,,99757,0.6535882193730765,0.7998035225598203,0.8288219101891995,0.9055572426358943,0.8442458324964852,0.7366626554352186,96.84720639099987,21.294200447000094
2,4,0.1,True,False,1,3,1.5,,99757,0.6535681706546909,0.7997834738414347,0.8288219101891995,0.9055572426358943,0.8442458324964852,0.7366626554352186,96.28358008799978,20.46707745799995
2,4,0.2,True,False,1,3,1.5,,99757,0.6535882193730765,0.7997734494822418,0.8288219101891995,0.9055572426358943,0.8442458324964852,0.7366626554352186,97.05347204700001,21.203349487000196
2,4,0.3,True,False,1,3,1.5,,99757,0.6535882193730765,0.799763425123049,0.8288219101891995,0.9055572426358943,0.8442458324964852,0.7366626554352186,97.31426621399999,20.299156726000092
